"CA","ODS","Indicador","Descripción","Año","Valor"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2010,"99,979040034"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2011,"99,961364075"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2012,"99,957564184"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2013,"99,951324231"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2014,"99,962857037"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2015,"99,948265637"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2016,"99,934568408"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2017,"99,941365769"
"ANDALUCÍA","Salud y bienestar","3.1.2.1","Proporción de partos atendidos por personal sanitario especializado",2018,"99,941303632"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2010,"28,3"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2011,"30,7"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2012,"28,3"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2013,"29,1"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2014,"33,3"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2015,"35,7"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2016,"35,4"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2017,31
"ANDALUCÍA","Fin de la pobreza","1.2.1.1",,2018,32
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2010,"18,51"
