CA;ODS;Indicador;Descripción;Año;Valor
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2010;99,97904003
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2011;99,96136408
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2012;99,95756418
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2013;99,95132423
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2014;99,96285704
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2015;99,94826564
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2016;99,93456841
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2017;99,94136577
ANDALUCÍA;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;2018;99,94130363
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2010;28,3
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2011;30,7
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2012;28,3
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2013;29,1
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2014;33,3
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2015;35,7
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2016;35,4
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2017;31
ANDALUCÍA;Fin de la pobreza;1.2.1.1;;2018;32
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2010;18,51
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2011;19,66
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2012;17,09
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2013;19,33
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2014;20,32
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2015;20,85
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2016;21,33
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2017;21,35
ANDALUCÍA;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;2018;17,95
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2010;22,8931
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2011;25,614
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2012;24,4377
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2013;26,5762
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2014;28,972
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2015;30,0285
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2016;30,3101
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2017;27,5106
ANDALUCÍA;Fin de la pobreza;1.2.1.2;;2018;27,6091
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2010;15,9216
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2011;17,8989
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2012;15,972
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2013;17,7001
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2014;18,1846
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2015;19,7678
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2016;18,5964
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2017;18,2728
ANDALUCÍA;Fin de la pobreza;1.2.1.2_1;;2018;15,6498
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2010;35
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2011;38,4
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2012;36,9
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2013;38,3
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2014;42,3
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2015;43,2
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2016;41,7
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2017;37,3
ANDALUCÍA;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;2018;38,2
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2010;27,53
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2011;30,17
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2012;28,01
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2013;31,5
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2014;33,68
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2015;32,87
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2016;32,3
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2017;30,26
ANDALUCÍA;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;2018;27,2
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2010;5,6
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2011;6,3
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2012;7,5
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2013;7
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2014;9,5
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2015;8
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2016;7,1
ANDALUCÍA;Fin de la pobreza;1.2.2.2;Población con carencia material severa;2017;5,2
