CA,ODS,Indicador,Descripción,Year,Value
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2010,99.98
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2011,99.96
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2012,99.96
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2013,99.95
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2014,99.96
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2015,99.95
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2016,99.93
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2017,99.94
ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,2018,99.94
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2010,28.30
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2011,30.70
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2012,28.30
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2013,29.10
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2014,33.30
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2015,35.70
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2016,35.40
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2017,31.00
ANDALUCÍA,Fin de la pobreza,1.2.1.1,,2018,32.00
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2010,18.51
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2011,19.66
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2012,17.09
