Year,CA,ODS,Indicador,Descripción,Value
2010,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.979040034
2011,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.961364075
2012,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.957564184
2013,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.951324231
2014,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.962857037
2015,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.948265637
2016,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.934568408
2017,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.941365769
2018,ANDALUCÍA,Salud y bienestar,3.1.2.1,Proporción de partos atendidos por personal sanitario especializado,99.941303632
2010,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"44283,000"
2011,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"44407,000"
2012,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"44283,000"
2013,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"44225,000"
2014,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,33.3
2015,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,35.7
2016,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,35.4
2017,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"31,000"
2018,ANDALUCÍA,Fin de la pobreza,1.2.1.1,,"32,000"
2010,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,18.51
2011,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,19.66
2012,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,"44456,000"
2013,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,19.33
2014,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,20.32
2015,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,20.85
2016,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,21.33
2017,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,21.35
2018,ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,17.95
2010,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,22.8931
2011,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,"25614,000"
2012,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,24.4377
2013,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,26.5762
2014,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,"28972,000"
2015,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,30.0285
2016,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,30.3101
2017,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,27.5106
2018,ANDALUCÍA,Fin de la pobreza,1.2.1.2,,27.6091
2010,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,15.9216
2011,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,17.8989
2012,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,"15972,000"
2013,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,17.7001
2014,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,18.1846
2015,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,19.7678
2016,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,18.5964
2017,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,18.2728
2018,ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,15.6498
2010,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,"35,000"
2011,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,38.4
2012,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,36.9
2013,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,38.3
2014,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,42.3
2015,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,43.2
2016,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,41.7
2017,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,37.3
2018,ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,38.2
2010,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,27.53
2011,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,30.17
2012,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,"44224,000"
2013,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,"44347,000"
2014,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,33.68
2015,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,32.87
2016,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,32.3
2017,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,30.26
2018,ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,Población en riesgo de pobreza o exclusión social: indicador AROPE. considerando la mediana de cada comunidad autónoma,"44254,000"
2010,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44352,000"
