Year;ODS;Indicador;Descripción;CA;Value
2010;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,97904003
2011;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,96136408
2012;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,95756418
2013;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,95132423
2014;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,96285704
2015;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,94826564
2016;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,93456841
2017;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,94136577
2018;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;ANDALUCÍA;99,94130363
2010;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;28,3
2011;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;30,7
2012;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;28,3
2013;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;29,1
2014;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;33,3
2015;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;35,7
2016;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;35,4
2017;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;31
2018;Fin de la pobreza;1.2.1.1;;ANDALUCÍA;32
2010;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;18,51
2011;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;19,66
2012;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;17,09
2013;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;19,33
2014;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;20,32
2015;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;20,85
2016;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;21,33
2017;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;21,35
2018;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;ANDALUCÍA;17,95
2010;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;22,8931
2011;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;25,614
2012;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;24,4377
